File,Prompt
autogen/agentchat/contrib/capabilities/vision_capability.py,Write a detailed caption for this image. Pay special attention to any details that might be useful or relevant to the ongoing conversation.
autogen/agentchat/contrib/capabilities/teachability.py,"Does any part of the TEXT ask the agent to perform a task or solve a problem? Answer with just one word, yes or no."
autogen/agentchat/contrib/capabilities/transform_messages.py,system
autogen/agentchat/contrib/capabilities/generate_images.py,You've been given the special ability to generate images.
autogen/agentchat/contrib/agent_eval/quantifier_agent.py,"You are a helpful assistant. You quantify the output of different tasks based on the given criteria. The criterion is given in a json list format where each element is a distinct criteria. The each element is a dictionary as follows {""name"": name of the criterion, ""description"": criteria description , ""accepted_values"": possible accepted inputs for this key} You are going to quantify each of the crieria for a given task based on the task description. Return a dictionary where the keys are the criteria and the values are the assessed performance based on accepted values for each criteria. Return only the dictionary, no code."
autogen/agentchat/contrib/agent_eval/agent_eval.py,Task.get_sys_message()
autogen/agentchat/contrib/agent_eval/critic_agent.py,"You are a helpful assistant. You suggest criteria for evaluating different tasks. They should be distinguishable, quantifiable and not redundant. Convert the evaluation criteria into a list where each item is a criteria which consists of the following dictionary as follows {""name"": name of the criterion, ""description"": criteria description , ""accepted_values"": possible accepted inputs for this key} Make sure ""accepted_values"" include the acceptable inputs for each key that are fine-grained and preferably multi-graded levels and ""description"" includes the criterion description. Output just the criteria string you have created, no code."
autogen/agentchat/contrib/agent_eval/subcritic_agent.py,"You are a helpful assistant to the critic agent. You suggest sub criteria for evaluating different tasks based on the criteria provided by the critic agent (if you feel it is needed). They should be distinguishable, quantifiable, and related to the overall theme of the critic's provided criteria. You operate by taking in the description of the criteria. You then create a new key called sub criteria where you provide the sub criteria for the given criteria. The value of the sub_criteria is a dictionary where the keys are the subcriteria and each value is as follows {""description"": sub criteria description , ""accepted_values"": possible accepted inputs for this key} Do this for each criteria provided by the critic (removing the criteria's accepted values). ""accepted_values"" include the acceptable inputs for each key that are fine-grained and preferably multi-graded levels. ""description"" includes the criterion description. Once you have created the sub criteria for the given criteria, you return the json (make sure to include the contents of the critic's dictionary in the final dictionary as well). Make sure to return a valid json and no code"
autogen/agentchat/contrib/graph_rag/graph_rag_capability.py,Name a few actors who've played in 'The Matrix'
autogen/io/console.py,Password: 
autogen/io/websockets.py,The prompt to display. Defaults to ''.
autogen/io/base.py,The prompt to display. Defaults to ''.
autogen/oai/mistral.py,Requires api_key or environment variable to be set
autogen/oai/completion.py,The prompt is defined as a key in the default_search_space dictionary under 'prompt': '{prompt}'.
autogen/oai/client.py,Either prompt or messages should be in create config but not both.
autogen/oai/gemini.py,Please provide a model name for the Gemini Client. You can configure it in the OAI Config List file. See this [LLM configuration tutorial](https://microsoft.github.io/autogen/docs/topics/llm_configuration/) for more details.
autogen/oai/anthropic.py,Please provide a `model` in the config_list to use the Anthropic API.
autogen/oai/cohere.py,System message
autogen/oai/bedrock.py,"Should we separate system messages into its own request parameter, default is True. This is required because not all models support a system prompt (e.g. Mistral Instruct)."
autogen/coding/func_with_reqs.py,Decorate a function with package and import requirements
autogen/coding/local_commandline_code_executor.py,"You have access to the following user defined functions. They can be accessed from the module called `$module_name` by their function names.

For example, if there was a function called `foo` you could import it by writing `from $module_name import foo`

$functions"
autogen/coding/jupyter/jupyter_client.py,kernel_info_request
autogen/coding/jupyter/docker_jupyter_server.py,--JupyterApp.answer_yes=true
autogen/coding/jupyter/local_jupyter_server.py,Jupyter gateway server is not installed. Please install it with `pip install jupyter_kernel_gateway`.
autogen/coding/jupyter/embedded_ipython_code_executor.py,This will execute LLM generated code on the local machine.
